utilization.gpu [%], memory.used [MiB]
65 %, 19808 MiB
65 %, 19808 MiB
64 %, 19808 MiB
66 %, 19808 MiB
66 %, 19808 MiB
66 %, 19808 MiB
65 %, 19808 MiB
64 %, 19808 MiB
66 %, 19808 MiB
64 %, 19808 MiB
65 %, 19808 MiB
64 %, 19808 MiB
64 %, 19808 MiB
65 %, 19808 MiB
66 %, 19808 MiB
68 %, 19808 MiB
68 %, 19808 MiB
69 %, 19808 MiB
69 %, 19808 MiB
71 %, 19808 MiB
70 %, 19808 MiB
73 %, 19808 MiB
78 %, 19808 MiB
77 %, 19808 MiB
78 %, 19808 MiB
77 %, 19808 MiB
77 %, 19808 MiB
77 %, 19808 MiB
77 %, 19808 MiB
78 %, 19808 MiB
78 %, 19808 MiB
78 %, 19808 MiB
78 %, 19808 MiB
78 %, 19808 MiB
78 %, 19808 MiB
77 %, 19808 MiB
79 %, 19808 MiB
66 %, 19930 MiB
67 %, 19930 MiB
67 %, 19930 MiB
66 %, 19930 MiB
67 %, 19930 MiB
67 %, 19930 MiB
67 %, 19930 MiB
67 %, 19930 MiB
66 %, 19930 MiB
67 %, 19930 MiB
66 %, 19930 MiB
67 %, 19930 MiB
67 %, 19930 MiB
67 %, 19930 MiB
66 %, 19930 MiB
67 %, 19930 MiB
67 %, 19930 MiB
67 %, 19930 MiB
66 %, 19930 MiB
66 %, 19930 MiB
67 %, 19930 MiB
67 %, 19930 MiB
66 %, 19930 MiB
65 %, 19930 MiB
70 %, 19930 MiB
69 %, 19930 MiB
73 %, 19930 MiB
71 %, 19930 MiB
72 %, 19930 MiB
75 %, 19932 MiB
74 %, 19932 MiB
74 %, 19932 MiB
78 %, 19932 MiB
78 %, 19932 MiB
67 %, 19932 MiB
66 %, 19932 MiB
66 %, 19932 MiB
66 %, 19932 MiB
67 %, 19932 MiB
66 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
66 %, 19932 MiB
67 %, 19932 MiB
66 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
66 %, 19932 MiB
66 %, 19932 MiB
67 %, 19932 MiB
66 %, 19932 MiB
67 %, 19932 MiB
69 %, 19932 MiB
69 %, 19932 MiB
74 %, 19932 MiB
73 %, 19932 MiB
74 %, 19932 MiB
74 %, 19932 MiB
78 %, 19932 MiB
64 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
67 %, 19932 MiB
